음향신호관리번호,지주관리번호,방향,제조회사,시설번호,표출구분,종류,상태,이력ID,위치정보,경도,위도
24-0000010295,02-0000025957,180,-,-,1,1,001,15023,1  ,126.91559249116025,37.47669400530849
24-0000012512,02-0000164611,0  ,-,-,2,1,001,17240,1  ,127.08662617197344,37.59176837676934
24-0000010308,02-0000087079,180,-,-,2,1,001,15036,1  ,127.04384103404585,37.66973071132192
24-0000012515,02-0000164605,0  ,-,-,2,1,001,17243,1  ,127.08619817456979,37.59201207145918
24-0000012524,02-0000081308,0  ,-,-,2,1,001,17252,1  ,127.0797940118681,37.581188332289074
24-0000009474,02-0000016205,180,대한신호㈜,-,2,1,001,14202,1  ,126.96865122949852,37.48590393303241
24-0000010548,02-0000155725,180,-,-,1,1,001,15276,1  ,127.0429549069805,37.51242561899504
24-0000002174,02-0000016201,315,한국전기교통,0,2,1,001,1773,1  ,126.97257142603785,37.4840521065446
24-0000012369,02-0000156496,180,신흥IND,-,2,1,001,17097,1  ,126.91695481784355,37.623614329659496
24-0000016141,02-0000016200,-,양광시스템,-,2,1,001,20869,-,126.97246575954543,37.48390374390752
24-0000010580,02-0000171299,180,(주)한길HC,-,2,1,001,15308,1  ,127.13129813530456,37.48281117810995
24-0000002168,02-0000016195,180,대한신호㈜,-,2,1,001,1761,1  ,126.97423065866559,37.48319962589713
24-0000016924,02-0000154793,-,대한신호㈜,-,2,1,001,21652,-,126.9741684959024,37.483163611992474
24-0000009153,02-0000176635,180,-,-,2,1,001,13881,1  ,126.86565581618358,37.52238356391986
24-0000000339,02-0000133186,180,-,-,1,1,001,10494,1  ,126.89302309076035,37.49814209278217
24-0000009134,02-0000176607,180,-,-,2,1,001,13862,1  ,126.8901533043788,37.52237036281302
24-0000009131,02-0000176604,180,대한신호,-,2,1,001,13859,1  ,126.89008450624863,37.522069388999896
24-0000009130,02-0000176603,180,-,-,2,1,001,13858,1  ,126.8899302665922,37.52217610955897
24-0000009129,02-0000176602,180,대한신호,-,2,1,001,13857,1  ,126.88981325592282,37.52219895856995
24-0000009204,02-0000173687,180,대한신호,-,2,1,001,13932,1  ,126.89259477299977,37.50676079073093
24-0000009158,02-0000061127,180,대한신호,-,2,1,001,13886,1  ,126.8527163073568,37.52096550192944
24-0000002169,02-0000131557,90 ,대한신호㈜,0,2,1,001,1763,1  ,126.97435285148288,37.48336915473864
24-0000009173,02-0000067388,180,한길HC,-,2,1,001,13901,1  ,126.84719900993329,37.530788192257354
24-0000007784,02-0000171645,0  ,신흥IND,0,2,1,001,13274,1  ,126.94469306819211,37.5884991496416
24-0000009445,02-0000156932,180,-,-,2,1,001,14173,1  ,126.94410282303633,37.51375949484677
24-0000012074,02-0000182665,180,대한신호,-,2,1,001,16802,1  ,127.00735026501614,37.510694719132246
24-0000001240,02-0000061168,180,신흥IND,-,2,1,001,5211,1  ,126.97249578280307,37.54215205265354
24-0000010729,02-0000150568,180,-,-,2,1,001,15457,1  ,126.92350315953362,37.55171274956539
24-0000010746,02-0000166059,180,에스에이치테크,-,2,1,001,15474,1  ,127.17093804430195,37.54612886091971
24-0000009851,02-0000178500,180,대한신호(주),-,2,1,001,14579,1  ,127.03525416007884,37.61176513034612
24-0000008834,02-0000175722,180,관급,0,1,1,001,13727,1  ,127.06179840727616,37.51138453320546
24-0000002571,02-0000039318,180,(주)대한신호,-,2,1,001,3890,1  ,127.05664746349896,37.51986568800672
24-0000009798,02-0000115426,180,(주)한길에이치씨,-,2,1,001,14526,1  ,127.09045427095423,37.61759603271448
24-0000009967,02-0000005688,180,대한신호(주),-,2,1,001,14695,1  ,126.90140359512391,37.5656412903476
24-0000009796,02-0000118897,180,(주)한길에이치씨,-,2,1,001,14524,1  ,127.08802721861652,37.61873049766979
24-0000001490,02-0000007244,180,㈜대한신호,-,2,1,001,767,1  ,126.9198645262248,37.58790781913581
24-0000009489,02-0000177417,180,-,-,2,1,001,14217,1  ,126.84726374958151,37.52315034442918
24-0000016567,02-0000175557,-,-,-,2,1,001,21295,-,126.9141347492209,37.55920339509739
24-0000009510,02-0000101634,180,-,-,2,1,001,14238,1  ,126.86999283612747,37.51876674310381
24-0000007467,02-0000169682,180,㈜대한신호,0,2,1,001,13026,1  ,126.91738717957404,37.590077261329725
24-0000009528,02-0000067400,180,-,-,2,1,001,14256,1  ,126.81713524986033,37.57624956721451
24-0000009529,02-0000067399,180,-,-,2,1,001,14257,1  ,126.81712458974049,37.57604949444127
24-0000009531,02-0000062958,180,-,-,2,1,001,14259,1  ,126.86314692250326,37.55707213581091
24-0000016566,02-0000175556,-,-,-,2,1,001,21294,-,126.91409923664678,37.559328945694304
24-0000007468,02-0000169683,180,㈜대한신호,0,2,1,001,13028,1  ,126.91730178343961,37.58993853711934
24-0000009542,02-0000177478,180,-,-,1,1,001,14270,1  ,126.85066236357744,37.56733544746432
24-0000001921,02-0000095550,180,-,-,1,1,001,7850,1  ,126.91707868147166,37.61122317644187
24-0000007469,02-0000169683,270,㈜대한신호,0,2,1,001,13027,1  ,126.91729039337132,37.589929656090426
24-0000009564,02-0000174819,180,-,-,2,1,001,14292,1  ,126.84473770825296,37.55814371756348
24-0000016565,02-0000001167,-,-,-,2,1,001,21293,-,127.00247973891088,37.56305425500683
24-0000006141,02-0000158597,180,㈜대한신호,0,2,1,001,11827,1  ,126.91496483375803,37.595791653390926
24-0000009404,02-0000177290,180,㈜대한신호,-,2,1,001,14132,1  ,126.91406472987777,37.592312257035935
24-0000016564,02-0000001167,-,-,-,2,1,001,21292,-,127.00249742383923,37.56304806028324
24-0000005931,02-0000160367,180,㈜대한신호,-,2,1,001,12033,1  ,126.91409385376527,37.612781910451474
24-0000016563,02-0000001166,-,-,-,2,1,001,21291,-,127.00279750647604,37.56308251666957
24-0000009961,02-0000163244,180,대한신호(주),-,2,1,001,14689,1  ,126.90639721181812,37.59216773250647
24-0000009952,02-0000157154,180,대한신호(주),-,2,1,001,14680,1  ,126.92512571218383,37.64632071116304
24-0000009931,02-0000157463,180,대한신호(주),-,2,1,001,14659,1  ,126.91908554961083,37.63031153727864
24-0000009929,02-0000157458,180,대한신호(주),-,2,1,001,14657,1  ,126.91944150941575,37.630247041353776
24-0000009922,02-0000008866,180,대한신호(주),-,2,1,001,14650,1  ,126.93132673105464,37.60868055880795
24-0000001475,02-0000008866,180,삼일안전시스템,-,1,1,001,906,1  ,126.93127726422665,37.608654704234624
24-0000006784,02-0000105047,180,삼일안전시스템,0,1,1,001,8705,1  ,126.93147986464243,37.60899119072153
24-0000006786,02-0000008867,180,삼일안전시스템,0,1,1,001,908,1  ,126.93110563557178,37.60890094572811
24-0000016562,02-0000001166,-,-,-,2,1,001,21290,-,127.00280741081052,37.56309997324117
24-0000002000,02-0000004112,180,한길HC,-,2,1,001,435,1  ,126.91651104718731,37.56021486090195
24-0000016561,02-0000103945,-,-,-,2,1,001,21289,-,127.00281407213438,37.56341126735627
24-0000010954,02-0000038129,0  ,(주)한길HC,-,2,1,001,15682,1  ,127.03416171793002,37.52147023346399
24-0000001102,02-0000041366,180,-,-,1,1,001,4011,1  ,127.0688443589751,37.48945763844731
24-0000009621,02-0000177885,180,-,-,1,1,001,14349,1  ,127.0655954720511,37.50528450691275
24-0000011003,02-0000177797,0  ,(주)한길HC,-,2,1,001,15731,1  ,127.05837541824347,37.47616964476936
24-0000001061,02-0000035632,180,-,-,1,1,001,3584,1  ,127.05256801672729,37.48294794787448
24-0000001378,02-0000037106,180,-,-,1,1,001,3713,1  ,127.09775219547656,37.48577304455477
24-0000010979,02-0000037745,0  ,(주)한길HC,-,2,1,001,15707,1  ,127.02128644626588,37.523458085246176
24-0000010974,02-0000176011,0  ,(주)대한신호,-,2,1,001,15702,1  ,127.04140244572,37.51737234375191
24-0000008419,02-0000173760,135,.,0,1,1,001,13586,1  ,127.035190278302,37.515673627945375
24-0000001055,02-0000037178,180,정우신호테크,-,1,1,001,3723,1  ,127.0678334203769,37.50098211357123
24-0000004027,02-0000007375,180,-,-,2,1,001,784,1  ,126.94875060289796,37.542975365288996
24-0000009346,02-0000157134,180,-,-,2,1,-,14074,1  ,127.0118028663395,37.50825817909361
24-0000009349,02-0000018085,180,-,-,2,1,001,14077,1  ,127.01146330574954,37.508293007900186
24-0000009368,02-0000143263,180,-,-,1,1,001,14096,1  ,127.0435459727406,37.46601256540573
24-0000009424,02-0000001580,180,-,-,2,1,001,14152,1  ,126.95994717179767,37.57222700053614
24-0000009413,02-0000177306,180,한길HC,-,2,1,001,14141,1  ,126.90039256184345,37.55647645786202
24-0000009410,02-0000177297,180,한길HC,-,2,1,001,14138,1  ,126.91303940702798,37.59331986475804
24-0000009397,02-0000177276,180,한길,-,2,1,001,14125,1  ,126.918170468025,37.593808064160015
24-0000009393,02-0000177255,180,한길,-,2,1,001,14121,1  ,126.91794094046324,37.593734699245275
24-0000014436,02-0000095264,180,한길에이치씨,-,2,1,001,19164,1  ,126.93280626157403,37.52679782118917
24-0000010039,02-0000064496,180,-,-,2,1,001,14767,1  ,126.89681814415371,37.525934074903205
24-0000010082,02-0000034311,180,-,-,2,1,001,14810,1  ,126.88595391413696,37.48537439543103
24-0000010074,02-0000097431,180,-,-,2,1,001,14802,1  ,126.88413233181672,37.49066055380584
24-0000010084,02-0000144826,180,-,-,2,1,001,14812,1  ,126.89045018098122,37.48401569537693
24-0000010536,02-0000140156,180,-,-,2,1,001,15264,1  ,127.03462303785929,37.58838596469244
24-0000010675,02-0000060489,180,한길HC,-,2,1,001,15403,1  ,126.88969238945879,37.5211598754263
24-0000001114,02-0000041515,180,0,-,1,1,001,4031,1  ,127.07386535855663,37.48888520167743
24-0000001114,02-0000041515,180,-,-,1,1,001,4032,1  ,127.07386535855663,37.48888520167743
24-0000001131,02-0000041598,180,-,-,1,1,001,4034,1  ,127.04676618931974,37.494488862417384
24-0000000142,02-0000041610,180,-,-,1,1,001,4035,1  ,127.09272372575893,37.511786151551696
24-0000004213,02-0000041619,180,진우산전,-,2,1,001,4036,1  ,127.09339046063256,37.510385868214534
24-0000000902,02-0000041628,180,-,-,1,1,001,4037,1  ,127.09653761562085,37.510152163221065
24-0000000903,02-0000041630,180,(주)대한신호,-,2,1,001,4038,1  ,127.09664901035794,37.50993758773595
24-0000000904,02-0000041632,180,(주)한길HC,-,2,1,001,4039,1  ,127.09734815677791,37.50984319654511
24-0000000907,02-0000041634,180,(주)한길HC,-,2,1,001,4040,1  ,127.09771906802501,37.50982054931052
24-0000005198,02-0000041672,0  ,한국전기교통,0,1,1,001,4042,1  ,127.08628070507758,37.50474792589675
24-0000004284,02-0000041691,180,진우산전,0801-126(수),2,1,001,4046,1  ,127.09328095895096,37.510171036904
24-0000004284,02-0000041691,180,-,-,1,1,001,4047,1  ,127.09328095895096,37.51017103690522
24-0000014433,02-0000107357,180,한길에이치씨,-,2,1,001,19161,1  ,126.93238290419721,37.52687876886966
24-0000000134,02-0000041757,180,.,-,1,1,001,4049,1  ,127.09246172136646,37.51175166954044
24-0000000134,02-0000041757,180,-,-,1,1,001,4050,1  ,127.09246172136646,37.51175166954044
24-0000000367,02-0000042310,180,대한신호㈜,-,2,1,001,4080,1  ,127.0968757486732,37.50002670770945
24-0000000126,02-0000041771,180,-,-,1,1,001,4052,1  ,127.08774774733727,37.50456537137745
24-0000000124,02-0000109997,180,대한신호㈜,-,2,1,001,9161,1  ,127.09669471325137,37.499955338695834
24-0000000127,02-0000041773,180,-,-,1,1,001,4054,1  ,127.08754506810801,37.50436279559506
24-0000000604,02-0000041858,180,대한신호㈜,-,2,1,001,4060,1  ,127.09721136031926,37.50443068624759
24-0000015146,02-0000041054,-,(주)대한신호,-,2,1,001,19874,-,127.10931422050126,37.48983490262708
24-0000006541,02-0000023978,180,삼일안전,0,2,1,001,11526,1  ,126.92826871009518,37.517228506935126
24-0000000579,02-0000041849,180,-,-,1,1,001,4058,1  ,127.09282242635254,37.510283999414334
24-0000004462,02-0000063295,180,(주)한길에이치씨,-,2,1,001,5375,1  ,126.85052424492801,37.553027224533714
24-0000000899,02-0000041872,180,삼일안전시스템,-,2,1,001,4067,1  ,127.0969863280903,37.506710204559184
24-0000000900,02-0000041876,180,(주)대한신호,-,2,1,001,4068,1  ,127.09579081821046,37.50669020149725
24-0000000901,02-0000041877,180,(주)대한신호,-,2,1,001,4069,1  ,127.09573872862357,37.506891807532625
24-0000000437,02-0000042082,180,삼일안전시스템,-,1,1,001,4070,1  ,127.0966516967701,37.502588701315545
24-0000000437,02-0000042082,180,-,-,1,1,001,4071,1  ,127.09671720417303,37.50260784398072
24-0000010502,02-0000155713,180,(주)대한신호,-,2,1,001,15230,1  ,127.08805867072067,37.49137155444602
24-0000001108,02-0000041406,180,(주)대한신호,-,2,1,001,4017,1  ,127.07645416405605,37.49257397617899
24-0000000440,02-0000042085,180,-,-,1,1,001,4074,1  ,127.09723950060507,37.502621753262105
24-0000000140,02-0000042816,180,대한신호㈜,-,2,1,001,4114,1  ,127.07893581817555,37.50869610349893
24-0000000576,02-0000042302,180,-,-,1,1,001,4077,1  ,127.09654776650275,37.498418885095475
24-0000001336,02-0000039553,180,(주)대한신호,-,2,1,001,3904,1  ,127.05905033814697,37.498154826480466
24-0000000123,02-0000042304,180,-,-,1,1,001,4079,1  ,127.09675936611366,37.49852012380387
24-0000000433,02-0000042315,180,-,-,1,1,001,4082,1  ,127.09681835978353,37.50220786914284
24-0000015135,02-0000039017,-,(주)대한신호,-,2,1,001,19863,-,127.06111468362373,37.503827349046645
24-0000000125,02-0000042321,180,0,-,1,1,001,4085,1  ,127.09515231328716,37.50243317759344
24-0000000125,02-0000042321,180,-,-,1,1,001,4086,1  ,127.09515231328716,37.50243317759344
24-0000016848,02-0000040546,-,-,-,2,1,001,21576,-,127.07757431237533,37.505136622882326
24-0000000507,02-0000042325,180,-,-,1,1,001,4088,1  ,127.09505784253291,37.50269454521951
24-0000005977,02-0000042356,90 ,0,-,1,1,001,4089,1  ,127.05662170060545,37.50717881670412
24-0000005977,02-0000042356,90 ,-,0,1,1,001,4090,1  ,127.05662170060545,37.50717881670412
24-0000005977,02-0000042356,0  ,-,0,1,1,001,4091,1  ,127.05662170060545,37.50717881670412
24-0000008925,02-0000029697,45 ,대한신호,0,2,1,001,3256,1  ,126.90547527780551,37.50531442450529
24-0000009702,02-0000178129,180,-,-,1,1,001,14430,1  ,126.95132522989417,37.542346925542155
24-0000002985,02-0000067415,180,-,-,1,1,001,5668,1  ,126.81651311178082,37.57316440381882
24-0000018772,02-0000181015,-,대한신호,-,2,1,001,23500,-,126.81987529757765,37.57597683267393
24-0000018771,02-0000181016,-,대한신호,-,2,1,001,23499,-,126.8199076402629,37.576061350145224
24-0000012325,02-0000016410,180,-,-,1,1,001,17053,1  ,127.1450787262765,37.48980703803505
24-0000009270,02-0000144775,180,-,-,1,1,001,13998,1  ,126.91967123011403,37.6234069657671
24-0000010318,02-0000151391,180,-,-,2,1,001,15046,1  ,126.92767674863948,37.489770892556116
24-0000001950,02-0000006085,180,대한신호,-,2,1,001,679,1  ,126.9351235194795,37.553821064160196
24-0000009785,02-0000178300,180,(주)한길에이치씨,-,2,1,001,14513,1  ,127.06105987917822,37.57783947807092
24-0000011219,02-0000094863,0  ,한길HC,-,2,1,001,15947,1  ,126.94292985350148,37.557850033232604
24-0000018770,02-0000181017,-,대한신호,-,2,1,001,23498,-,126.81998047059538,37.576080044217555
24-0000001250,02-0000060680,180,대한신호,-,2,1,001,5174,1  ,126.97392199915964,37.536042393497816
24-0000011179,02-0000129501,0  ,대한신호(주),-,2,1,001,15907,1  ,126.92311103940898,37.549021654040274
24-0000006632,02-0000163196,180,대한신호,-,2,1,001,12424,1  ,126.90550153309925,37.51587987127906
24-0000001896,02-0000005274,180,대한신호(주),-,2,1,001,570,1  ,126.9053018872232,37.55211941987932
24-0000010707,02-0000155844,180,대한신호(주),-,2,1,001,15435,1  ,126.92160647257619,37.642921295231154
24-0000006888,02-0000166686,180,대한신호(주),0,2,1,001,12606,1  ,126.92157774885796,37.64319503053263
24-0000011155,02-0000004457,0  ,대한신호(주),-,2,1,001,15883,1  ,126.93431781823521,37.545183079229865
24-0000008794,02-0000175584,0  ,한길HC,0,2,1,001,13718,1  ,126.96183688306951,37.53522926875334
24-0000001438,02-0000144312,180,한길HC,-,2,1,001,11196,1  ,126.96591562262633,37.52742525607559
24-0000000016,02-0000010165,180,한길HC,-,2,1,001,1064,1  ,126.94387352403432,37.584446551270624
24-0000010696,02-0000106472,180,대한신호,-,2,1,001,15424,1  ,126.991432351426,37.527197277105145
24-0000006877,02-0000166614,180,대한신호,0,2,1,001,12595,1  ,126.83979691072234,37.55972418875588
24-0000010694,02-0000018460,180,대한신호,-,2,1,001,15422,1  ,126.99144014322046,37.52743622566559
24-0000008125,02-0000018547,180,대한신호,0,2,1,001,2210,1  ,126.9917016556786,37.52751365526155
24-0000006461,02-0000162719,180,한길HC,0,2,1,001,12324,1  ,126.99800694629933,37.56740012089188
24-0000008877,02-0000112186,0  ,삼일안전시스템,0,1,1,001,9292,1  ,126.96190694915477,37.54033360788789
24-0000018769,02-0000173679,-,대한신호,-,2,1,001,23497,-,126.90313002033368,37.52018869930903
24-0000001195,02-0000054442,180,대한신호,-,2,1,001,4789,1  ,126.95923659650587,37.52385776734068
24-0000018768,02-0000173681,-,대한신호,-,2,1,001,23496,-,126.90327617442263,37.52033973703966
24-0000003820,02-0000133951,180,삼일안전시스템,-,2,1,001,10549,1  ,126.85607385688867,37.55762471716415
24-0000002865,02-0000066823,180,삼일안전시스템,-,2,1,001,5589,1  ,126.8116397308593,37.57331445321517
24-0000002866,02-0000066824,180,삼일안전시스템,-,2,1,001,5590,1  ,126.81164465477386,37.57360672087967
24-0000002867,02-0000066825,180,삼일안전시스템,-,2,1,001,5591,1  ,126.81155543741096,37.573634703998735
24-0000012323,02-0000016408,180,(주)대한신호,-,2,1,001,17051,1  ,127.14505374715225,37.489649374650675
24-0000001291,02-0000071124,180,대한신호,-,2,1,001,5885,1  ,126.95925578072809,37.5239956080149
24-0000010273,02-0000160699,180,-,-,2,1,001,15001,1  ,127.02456615410755,37.647915474659634
24-0000006915,02-0000034138,180,대한신호(주),0,2,1,001,3511,1  ,126.89164286346966,37.51107440235297
24-0000020675,02-0000057307,-,대한신호,-,2,1,001,25403,-,,
24-0000020674,02-0000057302,-,대한신호,-,2,1,001,25402,-,,
24-0000006914,02-0000166727,180,대한신호(주),0,2,1,001,12630,1  ,126.89183345843003,37.511177970842986
24-0000010461,02-0000173151,180,㈜신흥트레픽,-,2,1,001,15189,1  ,127.04702710848173,37.49394657759048
24-0000010821,02-0000179541,180,대한신호(주),-,2,1,001,15549,1  ,126.83657903877894,37.547849654008445
24-0000010157,02-0000016545,180,-,-,1,1,001,14885,1  ,126.83648885910537,37.54785962652488
24-0000010870,02-0000179660,180,대한신호,-,2,1,001,15598,1  ,126.83917637414598,37.517275729994985
24-0000014390,02-0000137697,180,대한신호,-,2,1,001,19118,1  ,126.8810981268055,37.53744796320965
24-0000008395,02-0000060759,315,대한신호,0,1,1,001,5186,1  ,126.83969965276883,37.51704322828975
24-0000001637,02-0000012250,180,-,-,1,1,001,1317,1  ,126.97432871115491,37.574036398218716
24-0000009878,02-0000178557,180,대한신호,-,2,1,001,14606,1  ,126.8871865491426,37.587249853014114
24-0000011016,02-0000180004,0  ,(주)대한신호,-,2,1,001,15744,1  ,127.05434544828884,37.45973194704047
24-0000001270,02-0000064899,180,한길HC,-,2,1,001,5484,1  ,126.89643452197429,37.52400295091202
24-0000011046,02-0000156403,0  ,한길HC,-,2,1,001,15774,1  ,126.87535789559865,37.547174954783
24-0000003761,02-0000134237,180,대한신호(주),-,2,1,001,10603,1  ,126.89199918427848,37.51104938794612
24-0000003760,02-0000134236,180,대한신호(주),-,2,1,001,10602,1  ,126.89192091048625,37.511126569151756
24-0000011042,02-0000180052,0  ,대한신호(주),-,2,1,001,15770,1  ,126.89206374041812,37.5108917712485
24-0000001778,02-0000126494,180,대한신호,-,2,1,001,9970,1  ,126.88431606562087,37.5893380816364
24-0000012356,02-0000124475,180,신흥IND,-,2,1,001,17084,1  ,126.97928192288295,37.56685938557062
24-0000010472,02-0000037211,180,㈜신흥트레픽,-,2,1,001,15200,1  ,127.07020815799272,37.49646231649388
24-0000004643,02-0000051139,180,삼일안전시스템,-,1,1,001,4502,1  ,127.01044987655001,37.53457973643126
24-0000011217,02-0000159421,0  ,한길HC,-,2,1,001,15945,1  ,126.9856538476356,37.565997846318396
24-0000001779,02-0000126495,180,대한신호,-,2,1,001,9971,1  ,126.88445404308847,37.58934778982506
24-0000007638,02-0000168756,0  ,한길HC,0,2,1,001,12901,1  ,126.97274973229548,37.55603620564508
24-0000005502,02-0000157404,180,대한신호,0,2,1,001,11634,1  ,126.97400680736924,37.55388609152779
24-0000011043,02-0000180054,0  ,대한신호(주),-,2,1,001,15771,1  ,126.89184581902302,37.510744261344826
24-0000011186,02-0000001337,0  ,대한신호(주),-,2,1,001,15914,1  ,126.96227284406827,37.55152431671688
24-0000017399,02-0000176981,-,신흥IND,-,2,1,001,22127,-,126.83160644161416,37.550296140134975
24-0000009762,02-0000178260,180,대한신호(주),-,2,1,001,14490,1  ,126.9460110078947,37.55648948197702
24-0000001902,02-0000137423,180,대한신호(주),-,2,1,001,10798,1  ,126.90503587396802,37.55196442540247
24-0000011671,02-0000181442,180,㈜신흥트레픽,-,2,1,001,16399,1  ,127.07019490320258,37.4967186986787
24-0000017398,02-0000176982,-,신흥IND,-,2,1,001,22126,-,126.8316828143333,37.5503198485613
24-0000010706,02-0000166689,180,대한신호(주),-,2,1,001,15434,1  ,126.92149388703665,37.64291779701451
24-0000001780,02-0000126496,180,대한신호,-,2,1,001,9973,1  ,126.88459966914259,37.589445352047164
24-0000000502,02-0000039659,180,㈜신흥트레픽,-,2,1,001,3911,1  ,127.06732987923745,37.501257382599015
24-0000009777,02-0000056086,180,한길HC,-,2,1,001,14505,1  ,126.90059506350131,37.5319946027911
24-0000011180,02-0000169697,0  ,대한신호(주),-,2,1,001,15908,1  ,126.9115301494238,37.61390872970366
24-0000005099,02-0000055467,180,대한신호,0,2,1,001,4861,1  ,126.8630065774661,37.54770383745861
24-0000010045,02-0000178745,180,-,-,2,1,001,14773,1  ,126.89467622953191,37.51913865247086
24-0000010052,02-0000070625,180,-,-,2,1,001,14780,1  ,126.89668308845444,37.53218696563837
24-0000006214,02-0000161214,180,대한신호,0,2,1,001,12173,1  ,126.94043762489777,37.55639180232385
24-0000010065,02-0000118959,180,-,-,2,1,001,14793,1  ,126.88240600284183,37.500206329037226
24-0000014564,02-0000011162,180,대한신호,-,2,1,001,19292,1  ,126.92266432770244,37.58768105987028
24-0000010083,02-0000098293,180,-,-,2,1,001,14811,1  ,126.88584430205745,37.48528924986344
24-0000009483,02-0000199575,180,대한신호(주),-,2,1,001,14211,1  ,126.86288150666998,37.54647559371923
24-0000006213,02-0000161211,180,대한신호,0,2,1,001,12172,1  ,126.93846768694863,37.5554625639688
24-0000010316,02-0000178957,180,-,-,1,1,001,15044,1  ,126.91885326810642,37.46318040034334
24-0000010676,02-0000179222,180,한길HC,-,2,1,001,15404,1  ,126.88960561274898,37.521018142053535
24-0000010671,02-0000179218,180,한길HC,-,2,1,001,15399,1  ,126.88987513825798,37.520965835198474
24-0000007055,02-0000167358,180,대한신호,0,2,1,001,12739,1  ,126.92889264166782,37.55780393352019
24-0000013321,02-0000177854,180,대한신호,-,2,1,001,18049,1  ,126.92998314868927,37.63403982238577
24-0000010866,02-0000179656,180,대한신호,-,2,1,001,15594,1  ,126.83975066405112,37.517055053192266
24-0000009549,02-0000066672,180,삼일안전시스템,-,2,1,001,14277,1  ,126.8452906983563,37.569929828814224
24-0000000654,02-0000016252,180,-,-,1,1,001,1796,1  ,127.13081385960729,37.48852919798359
24-0000007049,02-0000167350,180,대한신호,0,2,1,001,12733,1  ,126.92699285545187,37.55849868168424
24-0000005214,02-0000091723,180,대한신호,-,1,1,001,7614,1  ,127.01071520816795,37.647321552410084
24-0000007050,02-0000167351,180,대한신호,0,2,1,001,12734,1  ,126.9271541216204,37.558755319224815
24-0000010748,02-0000170899,180,대한신호,-,1,1,001,15476,1  ,126.99749742495655,37.57348691422821
24-0000009051,02-0000176387,180,-,-,2,1,001,13779,1  ,126.99753055605478,37.57328287437623
24-0000012882,02-0000195675,180,대한신호,-,2,1,001,17610,1  ,126.86591137051069,37.512649972772756
24-0000002641,02-0000110243,180,진우산전,-,2,1,001,9171,1  ,127.15578664817441,37.546071396947205
24-0000010833,02-0000179555,180,대한신호(주),-,2,1,001,15561,1  ,126.84336273477956,37.547422014335204
24-0000008023,02-0000117449,180,-,-,1,1,001,9693,1  ,126.83619416716954,37.54775166182548
24-0000010820,02-0000179540,180,대한신호(주),-,2,1,001,15548,1  ,126.83670940872679,37.548066636971164
24-0000021536,02-0000180500,-,대한신호,-,2,1,001,26264,-,,
24-0000014605,02-0000194819,180,신흥IND,-,2,1,001,19333,1  ,126.89613758502134,37.460253246194604
24-0000006646,02-0000163270,180,한길HC,0,2,1,001,12442,1  ,126.94593204200707,37.557113386496745
24-0000005495,02-0000157394,180,한길HC,0,2,1,001,11627,1  ,126.97291700227913,37.555969000461154
24-0000021535,02-0000180501,-,대한신호,-,2,1,001,26263,-,,
24-0000021534,02-0000180495,-,대한신호,-,2,1,001,26262,-,,
24-0000007048,02-0000167348,180,대한신호,0,2,1,001,12732,1  ,126.92655378610094,37.55853420304755
24-0000011156,02-0000004456,0  ,대한신호,-,2,1,001,15884,1  ,126.93444729307309,37.54512531498593
24-0000011172,02-0000151145,0  ,대한신호(주),-,2,1,001,15900,1  ,126.9104800573411,37.59782346266266
24-0000003985,02-0000144289,180,대한신호(주),-,2,1,001,11180,1  ,126.95718874423025,37.554388849366326
24-0000009062,02-0000052462,180,-,-,2,1,001,13790,1  ,126.98441934691766,37.57612038875319
24-0000013721,02-0000009993,180,한길에이치씨,-,2,1,001,18449,1  ,126.98287292154974,37.572157734335185
24-0000005506,02-0000156751,180,한길HC,0,2,1,001,11521,1  ,126.90202327239861,37.533736022951615
24-0000003482,02-0000094503,180,한길HC,-,2,1,001,7787,1  ,126.89515943635092,37.532834463948454
24-0000001645,02-0000012357,180,(주)한길에이치씨,-,2,1,001,1353,1  ,126.98281538729134,37.57389680614711
24-0000001590,02-0000104171,180,-,-,1,1,001,8593,1  ,126.8822789517133,37.59108933933629
24-0000014174,02-0000196560,180,신흥IND,-,2,1,001,18902,1  ,126.92696018001146,37.63431817310942
24-0000009882,02-0000178564,180,한길HC,-,2,1,001,14610,1  ,126.90609591193652,37.580403941384795
24-0000014235,02-0000015572,180,-,-,2,1,001,18963,1  ,126.97752086552916,37.47650876772702
24-0000010046,02-0000061095,180,-,-,2,1,001,14774,1  ,126.89498044182736,37.519294008459774
24-0000010063,02-0000137822,180,-,-,2,1,001,14791,1  ,126.90181588888566,37.48467249810034
24-0000001644,02-0000052463,180,한길에이치씨,-,2,1,001,4575,1  ,126.98305573572762,37.573962264012536
24-0000005921,02-0000105552,180,한길에이치씨,0,2,1,001,8765,1  ,126.98303746548937,37.57532521056446
24-0000010076,02-0000034324,180,-,-,2,1,001,14804,1  ,126.88607696005916,37.484809462446535
24-0000010077,02-0000034322,180,-,-,2,1,001,14805,1  ,126.88627805308383,37.484805030132435
24-0000010081,02-0000034316,180,-,-,2,1,001,14809,1  ,126.88634839878584,37.48513068807448
24-0000010085,02-0000108813,180,-,-,2,1,001,14813,1  ,126.89057971026922,37.484063810339016
24-0000019872,02-0000220974,-,-,-,2,1,001,24600,-,126.83422808303027,37.56380919111263
24-0000010422,02-0000132398,180,-,-,2,1,001,15150,1  ,126.94692338989475,37.48678470081649
