음향신호관리번호,지주관리번호,방향,제조회사,시설번호,표출구분,종류,상태,이력ID,위치정보,경도,위도
24-0000016157,02-0000019037,-,-,-,2,1,001,20885,-,126.958100534393,37.486339478595994
24-0000016155,02-0000202884,-,-,-,2,1,001,20883,-,126.94890897306172,37.50859165977662
24-0000016154,02-0000030312,-,-,-,2,1,001,20882,-,126.94910900444097,37.50861933939477
24-0000016153,02-0000202883,-,-,-,2,1,001,20881,-,126.94909642516409,37.50852646184358
24-0000016152,02-0000202882,-,-,-,2,1,001,20880,-,126.94900315992622,37.50851192787991
24-0000005176,02-0000024650,180,(주)네오텔레콤,0,2,1,001,2755,1  ,126.92823656624114,37.47932765294555
24-0000005199,02-0000102007,180,신흥,0,2,1,001,8368,1  ,127.01957564161249,37.58526826874211
24-0000015142,02-0000199326,-,(주)한길HC,-,2,1,001,19870,-,127.08880641087622,37.51135224528792
24-0000015141,02-0000199324,-,(주)한길HC,-,2,1,001,19869,-,127.08866367682856,37.51172918816614
24-0000015139,02-0000199319,-,(주)한길HC,-,2,1,001,19867,-,127.12217263893953,37.502582021150964
24-0000015138,02-0000199318,-,(주)한길HC,-,2,1,001,19866,-,127.12179899491788,37.50272430125271
24-0000015251,02-0000016727,-,대한신호,-,2,1,001,19979,-,127.11481880847639,37.51474537379247
24-0000015355,02-0000078542,-,대한신호,-,2,1,001,20083,-,127.06301508134197,37.60689731052566
24-0000008586,02-0000057692,180,신흥IND,0,2,1,001,4991,1  ,127.08809519191075,37.55356039615905
24-0000004254,02-0000051146,180,대한신호,-,2,1,001,4505,1  ,127.00900888235425,37.53398585699
24-0000015891,02-0000201384,-,대한신호,-,2,1,001,20619,-,126.97768813409151,37.54866847924758
24-0000015890,02-0000201383,-,대한신호,-,2,1,001,20618,-,126.97780784336831,37.54868906037833
24-0000015887,02-0000201381,-,대한신호,-,2,1,001,20615,-,127.01510629764819,37.559945326468565
24-0000015886,02-0000201380,-,대한신호,-,2,1,001,20614,-,127.01494077380342,37.55995604686943
